lng,lat,AR_coef,CLS_coef,row,col,land,rare.land,ndvi1982,ndvi1983,ndvi1984,ndvi1985,ndvi1986,ndvi1987,ndvi1988,ndvi1989,ndvi1990,ndvi1991,ndvi1992,ndvi1993,ndvi1994,ndvi1995,ndvi1996,ndvi1997,ndvi1998,ndvi1999,ndvi2000,ndvi2001,ndvi2002,ndvi2003,ndvi2004,ndvi2005,ndvi2006,ndvi2007,ndvi2008,ndvi2009,ndvi2010,ndvi2011,ndvi2012,ndvi2013
-141.041822,61.958445,0.00646569044466449,0.00460713097718819,336,467,Shrubland,FALSE,6.878,6.893,6.424,6.924,6.663,6.847,7.225,7.673,7.265,7.376,6.735,6.853,7.553,7.055,7.21,7.466,7.146,7.187,7.032,6.597,6.959,6.855,7.031,6.827,7.088,6.88,6.868,7.133,7.641,7.246,6.36,7.786
-141.041822,64.375102,0.0336482219887467,0.0195148782688836,307,467,Savanna,FALSE,9.825,9.89,10.177,9.937,10.016,10.224,10.317,10.066,10.387,10.662,9.362,9.641,9.99,9.644,10.226,10.435,10.025,9.861,9.661,9.694,9.965,10.043,11.533,11.151,11.101,11.59,11.419,10.521,11.238,11.591,11.266,10.037
-141.041822,65.458432,-0.046926208237938,-0.0330062221004282,294,467,Savanna,FALSE,8.67,8.349,8.471,8.43,8.545,8.418,8.653,9.058,8.336,8.944,8.857,8.538,8.997,8.713,8.108,8.296,8.087,8.537,8.565,7.396,7.168,7.35,7.315,7.134,7.076,7.663,7.406,7.203,8.546,7.598,7.345,7.555
-141.041822,65.541764,0.0427270211237433,0.0270417327907012,293,467,Savanna,FALSE,9.834,10.001,9.789,9.489,9.909,10.131,9.866,10.46,10.4,10.09,9.595,9.629,10.145,9.762,9.988,10.019,9.962,9.181,8.765,10.721,10.435,10.61,10.662,10.603,10.642,11.205,11.163,11.117,11.762,11.721,10.968,10.595
-141.041822,67.208425,0.0324406212295919,0.0340134833761363,273,467,Savanna,FALSE,7.455,7.328,7.918,7.57,7.709,7.566,7.837,8.206,7.586,7.854,7.3,7.891,7.38,8.148,7.724,8.015,7.831,7.641,7.601,7.914,7.801,7.787,8.266,8.002,8.026,8.522,8.535,8.266,8.95,8.116,8.643,8.723
-141.125156,62.208444,-0.0278148952773651,-0.0233117131289271,333,466,Savanna,FALSE,7.723,7.723,7.982,7.866,7.967,8.1,7.843,7.964,7.69,7.648,7.668,7.371,8.036,8.428,7.62,8.037,7.649,7.748,7.425,7.241,7.155,7.387,6.296,7.114,7.134,6.68,6.627,7.195,8.191,7.442,7.178,7.297
-141.125156,62.791775,-0.0120454165918541,-0.00757642721067405,326,466,Savanna,FALSE,8.933,8.843,8.917,8.917,9.039,9.158,8.671,9.07,8.843,8.875,9.103,8.834,9.137,9.306,8.675,8.964,9.062,8.846,9.15,8.125,8.301,8.433,8.06,8.211,8.213,8.049,8.116,8.862,9.666,8.961,8.832,8.783
-141.125156,62.958441,-0.0915616095341189,-0.0630501345712925,324,466,Savanna,FALSE,12.792,13.58,13.719,13.68,13.444,13.454,13.928,13.678,13.557,13.924,12.484,13.184,13.585,14.074,13.496,13.171,13.338,12.702,12.431,10.757,10.991,11.594,10.075,11.392,11.319,10.885,10.718,10.186,12.101,11.556,11.517,11.229
-141.125156,63.125107,-0.0618012605969019,-0.0453315191203555,322,466,Savanna,FALSE,12.873,12.988,13.217,13.05,12.918,12.986,13.082,12.814,12.367,12.951,12.295,12.909,13.546,13.352,13.031,12.573,13.218,12.539,12.523,11.459,11.469,12.059,10.757,11.809,11.437,11.596,11.344,11.467,12.17,11.755,11.668,11.179
-141.125156,65.875096,0.0234631089278524,0.0161688877645692,289,466,Savanna,FALSE,12.408,12.498,12.496,12.478,12.687,12.574,12.719,12.878,12.59,12.669,12.182,12.362,12.385,12.429,12.626,12.523,12.502,12.305,12.379,12.314,12.407,12.511,13.353,13.06,12.901,13.625,13.495,13.415,15.294,14.323,13.863,11.895
