"row","col","lng","lat","land","ndvi1982","ndvi1983","ndvi1984","ndvi1985","ndvi1986","ndvi1987","ndvi1988","ndvi1989","ndvi1990","ndvi1991","ndvi1992","ndvi1993","ndvi1994","ndvi1995","ndvi1996","ndvi1997","ndvi1998","ndvi1999","ndvi2000","ndvi2001","ndvi2002","ndvi2003","ndvi2004","ndvi2005","ndvi2006","ndvi2007","ndvi2008","ndvi2009","ndvi2010","ndvi2011","ndvi2012","ndvi2013"
516,1057,-91.875352,46.958506,8,8.034,7.771,7.976,8.393,8.613,8.995,8.579,8.506,8.936,8.799,8.416,8.137,9.111,8.876,8.893,8.171,9.723,8.303,9.36,8.458,8.761,8.708,7.908,8.364,8.453,9.046,8.675,8.951,11.908,9.875,9.973,9.28
516,1090,-89.125363,46.958506,4,14.901,14.764,14.312,15.186,14.935,15.483,15.238,14.149,15.71,15.472,14.277,14.683,15.098,14.043,14.651,15.105,16.232,14.951,15.404,15.35,14.973,15.236,15.616,15.446,15.695,15.221,15.117,15.828,16.199,15.915,16.487,14.856
516,1091,-89.04203,46.958506,4,14.705,14.579,14.426,14.648,14.525,14.989,15.11,14.555,15.72,15.469,14.207,14.542,15.155,14.584,14.389,14.63,15.666,14.472,15.265,14.926,14.829,14.892,15.241,15.548,15.261,14.926,14.823,15.22,15.842,15.417,16.101,14.746
516,1092,-88.958697,46.958506,4,14.705,14.579,14.426,14.648,14.525,14.989,15.11,14.555,15.72,15.469,14.207,14.542,15.155,14.584,14.389,14.63,15.666,14.472,15.265,14.926,14.829,14.892,15.241,15.548,15.261,14.926,14.823,15.22,15.842,15.417,16.101,14.746
516,1093,-88.875364,46.958506,4,14.054,13.408,13.981,14.055,13.845,14.241,14.068,14.08,14.945,14.549,13.477,13.861,14.694,13.988,13.567,13.688,14.931,13.614,14.341,14.052,13.842,14.143,13.845,14.206,14.094,13.971,13.48,13.877,14.575,14.053,14.736,13.37
516,1094,-88.792031,46.958506,4,13.04,12.691,12.863,13.448,13.227,13.428,13.138,12.994,13.677,13.692,12.572,12.754,13.444,12.964,12.796,13.123,14.366,13.154,13.706,13.54,13.318,13.565,13.786,13.904,13.69,13.685,13.356,13.715,14.641,13.913,14.772,12.951
516,1095,-88.708698,46.958506,4,13.328,13.124,13.325,13.595,13.568,13.515,13.516,13.37,14.523,14.057,13.267,13.371,13.817,13.118,12.927,13.363,14.275,13.39,13.654,13.516,13.321,13.344,13.515,13.588,13.506,13.238,12.915,13.476,14.245,13.257,14.419,12.881
516,1096,-88.625366,46.958506,4,13.328,13.124,13.325,13.595,13.568,13.515,13.516,13.37,14.523,14.057,13.267,13.371,13.817,13.118,12.927,13.363,14.275,13.39,13.654,13.516,13.321,13.344,13.515,13.588,13.506,13.238,12.915,13.476,14.245,13.257,14.419,12.881
516,1097,-88.542032,46.958506,4,11.888,11.555,11.917,12.066,12.153,12.407,12.039,12.035,12.725,12.455,11.796,11.85,12.28,11.995,11.577,11.945,12.657,11.925,12.158,12.441,11.884,11.987,12.274,12.356,12.072,12.087,11.901,12.355,13.352,12.291,13.171,11.663
517,1056,-91.958686,46.875172,8,4.261,3.956,4.458,3.728,4.186,4.368,4.43,4.258,4.099,4.563,4.482,4.334,4.313,3.863,4.143,3.705,4.058,3.64,4.261,3.865,3.501,3.378,4.147,3.831,4.913,4.924,4.901,4.52,4.503,4.399,4.265,4.257
